indice_tiempo,financiamiento_mercado_capitales_ge_on_vcp,financiamiento_mercado_capitales_ge_ff,financiamiento_mercado_capitales_ge_acciones,financiamiento_mercado_capitales_ge_cdcp,financiamiento_mercado_capitales_ge_total,financiamiento_mercado_capitales_pymes_on_vcp,financiamiento_mercado_capitales_pymes_ff,financiamiento_mercado_capitales_pymes_acciones,financiamiento_mercado_capitales_pymes_cdcp,financiamiento_mercado_capitales_pymes_pagares,financiamiento_mercado_capitales_pymes_total,financiamiento_mercado_capitales_total_general,tasa_interes_vdf_senior,tasa_interes_cpdp,tasa_interes_cpda,emisiones_ge_on,emisiones_ge_ff,emisiones_ge_acc,emisiones_ge_cpd,emisiones_ge_total,emisiones_pymes_on,emisiones_pymes_ff,emisiones_pymes_acc,emisiones_pymes_cpd,emisiones_pymes_pag,emisiones_pymes_total,emisiones_totales_ge_pymes,eff_agropecuarios,eff_estructurados,eff_creditos_comerciales,eff_flujos_futuros,eff_inmobiliario_hipotecario,eff_leasing,eff_prendarios,eff_obras_publicas,eff_prestamos_personales_consumo,eff_tarjetas_credito,eff_innovacion_financiera,eff_financiacion_exportaciones,act_financieras_seguros,actividades_inmobiliarias,agricultura_ganaderia,alimentos_bebidas,bancos,calzado_indumentaria,comercio,construccion,distribucion_energia_electrica,distribucion_de_gas,editoriales_imprentas,equipamiento_hogar,generacion_energia_electrica,grupos_concesionarios,holdings,industria_automotriz,industria_petroleo_gas,industria_farmaceutica,industria_metalurgica_siderurgica,industria_quimica_petroquimica,manufacturas_origen_agropecuario,manufacturas_origen_industrial,manufacturas_actividades_empresariales,manufacturas_papel_celulosa,manufacturas_servicios_informaticos,manufacturas_tecnologia,manufacturas_telecomunicaciones,manufacturas_transporte_energia_electrica,manufacturas_transporte_gas,manufacturas_transporte_pasajeros_peajes
2010-01-01,,133263308.0422561,,668916.5701529776,133932224.61240909,,5840000.0,,19813119.992121328,,25653119.992121328,159585344.60453042,0.12465030611,0.16060755000000002,0.12433809,,10.0,,63.0,73.0,,3.0,,2987.0,,2990.0,3063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-01,5882074.0453074435,381280015.89095265,,654055.9317525707,387816145.86801267,,1734630.8290155442,,17865427.33140874,,19600058.160424285,407416204.02843696,0.11382479432,0.18946995,0.12330697,1.0,16.0,,45.0,62.0,,1.0,,2571.0,,2572.0,2634.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-01,131073066.6827018,130300049.87702478,,1250503.4497636918,262623620.00949028,,1277647.9072762395,,21292427.429302193,,22570075.336578432,285193695.34606874,0.11481150434,0.16946218,0.12621922,4.0,11.0,,87.0,102.0,,1.0,,3444.0,,3445.0,3547.0,,,,,,,,,,,,,,,,0.11443998663975416,0.06886567001747511,,,,,,,,,,,,0.8166943433427707,,,,,,,,,,,,,
2010-04-01,570080338.7096775,392660197.81910694,,602429.4243902441,963342965.9531746,,1965846.0,,17267009.626507133,,19232855.626507133,982575821.5796818,0.11551921457,0.16926068,0.11881567999999999,7.0,16.0,,55.0,78.0,,1.0,,3106.0,,3107.0,3185.0,,,,,,,,,,,,,0.045268096197307324,,,,0.013580428859192199,,,,,,,,,0.06408211112067085,,,0.8770693638228295,,,,,,,,,,,,,
2010-05-01,29699923.07692308,111437848.65464112,,488215.1498079386,141625986.88137212,925000.0,2472692.6517571886,,18616039.203585148,,22013731.855342336,163639718.73671445,0.12339692983999999,0.16718649,0.12815922000000002,2.0,12.0,,57.0,71.0,1.0,1.0,,3473.0,,3475.0,3546.0,,,,,,,,,,,,,0.4147367821750677,,0.030204157498668754,,,,,,0.5550590603262635,,,,,,,,,,,,,,,,,,,,,
2010-06-01,80660724.43092512,170445435.15351245,,661958.0775690945,251768117.66200665,,,,22579460.553774115,,22579460.553774115,274347578.21578074,0.12037214561000001,0.16711137,0.1190223,6.0,12.0,,73.0,91.0,,,,4065.0,,4065.0,4156.0,,,,,,,,,,,,,0.09456475414206104,,,,0.6526196805034252,,0.09480583700794265,,,,,,,,,,,,,,,0.15800972834657107,,,,,,,,
2010-07-01,190502892.14330748,1855200436.83144,,835825.2264071096,2046539154.2011545,,7446000.0,,24828524.44265764,,32274524.44265764,2078813678.6438122,0.13047984442000002,0.14433741,0.11938359999999999,5.0,14.0,,39.0,58.0,,1.0,,3674.0,,3675.0,3733.0,,,,,,,,,,,,,,0.787389620768388,0.14118441483395716,,,,0.03993037956691939,,,,,,,,,,,,,,0.03149558483073552,,,,,,,,,
2010-08-01,32634691.91622753,161834018.08339226,,1719733.47373763,196188443.4733574,,4910000.0,,24667855.381882764,,29577855.381882764,225766298.85524017,0.13188023222,0.15464769,0.11933511,4.0,12.0,,90.0,106.0,,1.0,,3994.0,,3995.0,4101.0,,,,,,,,,,,,,0.4668307096340656,,,,0.5331692903659344,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-01,96793810.97993264,130532824.69364154,,2306054.4800206833,229632690.15359485,,8139886.687697161,,24705012.160753787,,32844898.848450948,262477589.0020458,0.13168442518,0.15267255000000002,0.11653625,8.0,9.0,,95.0,112.0,,3.0,,4423.0,,4426.0,4538.0,,,,,,,,,,,,,0.7521864476494002,,0.038985807743872385,,0.1303626378817184,,0.07846510672500898,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,489714795.9491306,180629765.94523132,161324790.6057528,519545.3321885811,832188897.8323034,,,,19666726.16348072,,19666726.16348072,851855623.9957842,0.13092500431999998,0.16729154999999998,0.12479193000000001,8.0,16.0,3.0,47.0,74.0,,,,3334.0,,3334.0,3408.0,,,,,,,,,,,,,0.08017931417964881,,,,0.094992665885564,,,,0.326985063688561,,,,,,,,,,,,,,0.49784295624622615,,,,,,,
2010-11-01,452277582.6631872,597534668.5547422,,618347.4880562032,1050430598.7059855,3500000.0,9931331.0,,25313566.184279148,,38744897.184279144,1089175495.8902647,0.13220606113,0.16604406000000002,0.13240602,10.0,16.0,,50.0,76.0,2.0,2.0,,4268.0,,4272.0,4348.0,,,,,,,,,,,,,0.08268162250516572,,0.0076789976904530115,0.4387998680258864,0.1096999670064716,,,,0.016821583843615318,0.344317960928408,,,,,,,,,,,,,,,,,,,,
2010-12-01,569829221.4687237,266523945.73836744,99672470.40498573,1234224.7142801052,937259862.3263569,,8299366.184789441,,41507815.497114144,,49807181.681903586,987067044.0082605,0.13657440513,0.17458526,0.13962287,13.0,20.0,2.0,93.0,128.0,,4.0,,4999.0,,5003.0,5131.0,,,,,,,,,,,,,0.12064825615466311,,,0.035098235131659966,0.08713892443121111,,,0.2105894107899598,,,,,,0.5264735269748995,,,,,0.020051646517606558,,,,,,,,,,,
2011-01-01,210313676.28607276,129994918.41186605,,1008747.3002239808,341317341.9981628,3761755.485893417,4633000.0,,20772699.233567264,,29167454.71946068,370484796.7176235,0.13313145663,0.17591401999999998,0.13871547,2.0,10.0,,74.0,86.0,2.0,1.0,,3773.0,,3776.0,3862.0,0.034413367261806,,,,0.11141819748048565,0.05186385056946134,,,0.802304584688247,,,,0.9342501301739314,,,,0.0481777670641764,0.01757210276189213,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-01,124000000.0,260414717.97452757,,980123.7771097808,385394841.7516374,,3994294.103041589,,17916720.69907833,,21911014.80211992,407305856.5537573,0.13591611357,0.18125064999999999,0.12254651000000001,3.0,16.0,,81.0,100.0,,2.0,,3007.0,,3009.0,3109.0,0.04400224072766016,,,,,,,,0.8255629760352199,0.13043478323711993,,,0.1935483870967742,,,,,,,0.8064516129032258,,,,,,,,,,,,,,,,,,,,,,
2011-03-01,317764495.4619738,239303176.28673893,,780666.7672747878,557848338.5159875,,8120235.948116121,,24008103.138999432,,32128339.087115552,589976677.603103,0.13390825012000002,0.17689195000000002,0.11751293,9.0,16.0,,54.0,79.0,,1.0,,3993.0,,3994.0,4073.0,0.03281918988494252,,0.015780744809832725,,0.12615828775618732,,,0.09378843916607965,0.5562485562764606,0.17520478210649715,,,0.13221088202692316,,0.1995644863463791,,0.03882769503932002,,,,,,,,0.6293969365873776,,,,,,,,,,,,,,,,,
2011-04-01,220980115.88958812,1428767863.4592988,,904053.4822569547,1650652032.8311439,,,,20443355.735771157,,20443355.735771157,1671095388.566915,0.13207926484,0.16478893,0.11275597,12.0,14.0,,64.0,90.0,,,,3972.0,,3972.0,4062.0,,,,,,,,0.8714919596140372,0.11266197203996467,0.015846068345998172,,,0.3950089644079891,,,,0.2895825667376238,,,,0.31540846885438706,,,,,,,,,,,,,,,,,,,,,
